,あ,,Ah,en-us,JLPT 4
,ああ,,like that,en-us,JLPT 4
間,あいだ,,a space,en-us,JLPT 4
合う,あう,,to match,en-us,JLPT 4
,あかちゃん,,baby,en-us,JLPT 4
上る,あがる,,to rise,en-us,JLPT 4
赤ん坊,あかんぼう,,baby,en-us,JLPT 4
空く,あく,,"to open, to become empty",en-us,JLPT 4
,あげる,,to give,en-us,JLPT 4
浅い,あさい,,"shallow, superficial",en-us,JLPT 4
味,あじ,,flavour,en-us,JLPT 4
明日,あす・あした,,tomorrow,en-us,JLPT 4
遊び,あそび,,play,en-us,JLPT 4
集る,あつまる,,to gather,en-us,JLPT 4
集める,あつめる,,to collect something,en-us,JLPT 4
謝る,あやまる,,to apologize,en-us,JLPT 4
安心,あんしん,,relief,en-us,JLPT 4
安全,あんぜん,,safety,en-us,JLPT 4
,あんな,,such,en-us,JLPT 4
以下,いか,,less than,en-us,JLPT 4
以外,いがい,,with the exception of,en-us,JLPT 4
医学,いがく,,medical science,en-us,JLPT 4
生きる,いきる,,to live,en-us,JLPT 4
意見,いけん,,opinion,en-us,JLPT 4
石,いし,,stone,en-us,JLPT 4
,いじめる,,to tease,en-us,JLPT 4
以上,いじょう,,"more than, this is all",en-us,JLPT 4
急ぐ,いそぐ,,to hurry,en-us,JLPT 4
致す,いたす,,(humble) to do,en-us,JLPT 4
一度,いちど,,once,en-us,JLPT 4
一生懸命,いっしょうけんめい,,with utmost effort,en-us,JLPT 4
,いっぱい,,full,en-us,JLPT 4
糸,いと,,thread,en-us,JLPT 4
以内,いない,,within,en-us,JLPT 4
田舎,いなか,,countryside,en-us,JLPT 4
祈る,いのる,,to pray,en-us,JLPT 4
,いらっしゃる,,"(respectful) to be, to come or to go",en-us,JLPT 4
植える,うえる,,"to plant, to grow",en-us,JLPT 4
受付,うけつけ,,receipt,en-us,JLPT 4
受ける,うける,,to take a lesson or test,en-us,JLPT 4
動く,うごく,,to move,en-us,JLPT 4
,うち,,within,en-us,JLPT 4
打つ,うつ,,to hit,en-us,JLPT 4
美しい,うつくしい,,beautiful,en-us,JLPT 4
写す,うつす,,to copy or photograph,en-us,JLPT 4
移る,うつる,,to move house or transfer,en-us,JLPT 4
腕,うで,,arm,en-us,JLPT 4
裏,うら,,reverse side,en-us,JLPT 4
売り場,うりば,,place where things are sold,en-us,JLPT 4
,うん,,(informal) yes,en-us,JLPT 4
運転手,うんてんしゅ,,driver,en-us,JLPT 4
枝,えだ,,"branch, twig",en-us,JLPT 4
選ぶ,えらぶ,,to choose,en-us,JLPT 4
遠慮,えんりょ・する,,"to be reserved, to be restrained",en-us,JLPT 4
,おいでになる,,(respectful) to be,en-us,JLPT 4
お祝い,おいわい,,congratulation,en-us,JLPT 4
,おかげ,,"owing to, thanks to",en-us,JLPT 4
,おかしい,,strange or funny,en-us,JLPT 4
億,おく,,one hundred million,en-us,JLPT 4
屋上,おくじょう,,rooftop,en-us,JLPT 4
贈り物,おくりもの,,gift,en-us,JLPT 4
送る,おくる,,to send,en-us,JLPT 4
遅れる,おくれる,,to be late,en-us,JLPT 4
起す,おこす,,to wake,en-us,JLPT 4
行う,おこなう,,to do,en-us,JLPT 4
怒る,おこる,,"to get angry, to be angry",en-us,JLPT 4
押し入れ,おしいれ,,closet,en-us,JLPT 4
お嬢さん,おじょうさん,,young lady,en-us,JLPT 4
お宅,おたく,,(polite) your house,en-us,JLPT 4
落る,おちる,,to fall or drop,en-us,JLPT 4
,おっしゃる,,(respectful) to say,en-us,JLPT 4
夫,おっと,,husband,en-us,JLPT 4
,おつり,,"change from purchase, balance",en-us,JLPT 4
音,おと,,"sound, note",en-us,JLPT 4
落す,おとす,,to drop,en-us,JLPT 4
踊り,おどり,,a dance,en-us,JLPT 4
踊る,おどる,,to dance,en-us,JLPT 4
驚く,おどろく,,to be surprised,en-us,JLPT 4
お祭り,おまつり,,festival,en-us,JLPT 4
お見舞い,おみまい,,"calling on someone who is ill, enquiry",en-us,JLPT 4
お土産,おみやげ,,souvenir,en-us,JLPT 4
思い出す,おもいだす,,to remember,en-us,JLPT 4
思う,おもう,,"to think, to feel",en-us,JLPT 4
,おもちゃ,,toy,en-us,JLPT 4
表,おもて,,the front,en-us,JLPT 4
親,おや,,parents,en-us,JLPT 4
泳ぎ方,およぎかた,,way of swimming,en-us,JLPT 4
下りる,おりる,,"to get off, to descend",en-us,JLPT 4
折る,おる,,to break or to fold,en-us,JLPT 4
お礼,おれい,,expression of gratitude,en-us,JLPT 4
折れる,おれる,,to break or be folded,en-us,JLPT 4
終わり,おわり,,the end,en-us,JLPT 4
海岸,かいがん,,coast,en-us,JLPT 4
会議,かいぎ,,meeting,en-us,JLPT 4
会議室,かいぎしつ,,meeting room,en-us,JLPT 4
会場,かいじょう,,assembly hall or meeting place,en-us,JLPT 4
会話,かいわ,,conversation,en-us,JLPT 4
帰り,かえり,,return,en-us,JLPT 4
変える,かえる,,to change,en-us,JLPT 4
科学,かがく,,science,en-us,JLPT 4
鏡,かがみ,,mirror,en-us,JLPT 4
掛ける,かける,,to hang something,en-us,JLPT 4
飾る,かざる,,to decorate,en-us,JLPT 4
火事,かじ,,fire,en-us,JLPT 4
,,ガス,gas,en-us,JLPT 4
堅/硬/固い,かたい,,hard,en-us,JLPT 4
形,かたち,,shape,en-us,JLPT 4
片付ける,かたづける,,to tidy up,en-us,JLPT 4
課長,かちょう,,section manager,en-us,JLPT 4
勝つ,かつ,,to win,en-us,JLPT 4
家内,かない,,housewife,en-us,JLPT 4
悲しい,かなしい,,sad,en-us,JLPT 4
必ず,かならず,,"certainly, necessarily",en-us,JLPT 4
お・金持ち,かねもち/おかねもち,,rich man,en-us,JLPT 4
彼女,かのじょ,,"she, girlfriend",en-us,JLPT 4
壁,かべ,,wall,en-us,JLPT 4
髪,かみ,,hair,en-us,JLPT 4
噛む,かむ,,"to bite, to chew",en-us,JLPT 4
通う,かよう,,to commute,en-us,JLPT 4
彼,かれ,,"he, boyfriend",en-us,JLPT 4
乾く,かわく,,to get dry,en-us,JLPT 4
代わり,かわり,,"substitute, alternate",en-us,JLPT 4
変わる,かわる,,to change,en-us,JLPT 4
考える,かんがえる,,to consider,en-us,JLPT 4
関係,かんけい,,relationship,en-us,JLPT 4
看護師,かんごし,,nurse,en-us,JLPT 4
簡単,かんたん,,simple,en-us,JLPT 4
気,き,,"spirit, mood",en-us,JLPT 4
機会,きかい,,opportunity,en-us,JLPT 4
危険,きけん,,danger,en-us,JLPT 4
聞こえる,きこえる,,to be heard,en-us,JLPT 4
汽車,きしゃ,,steam train,en-us,JLPT 4
技術,ぎじゅつ,,"art, technology, skill",en-us,JLPT 4
季節,きせつ,,season,en-us,JLPT 4
規則,きそく,,regulations,en-us,JLPT 4
,きっと,,surely,en-us,JLPT 4
絹,きぬ,,silk,en-us,JLPT 4
厳しい,きびしい,,strict,en-us,JLPT 4
気分,きぶん,,mood,en-us,JLPT 4
決る,きまる,,to be decided,en-us,JLPT 4
君,きみ,,(informal) You,en-us,JLPT 4
決める,きめる,,to decide,en-us,JLPT 4
気持ち,きもち,,"feeling, mood",en-us,JLPT 4
着物,きもの,,kimono,en-us,JLPT 4
客,きゃく,,"guest, customer",en-us,JLPT 4
急,きゅう,,"urgent, steep",en-us,JLPT 4
急行,きゅうこう,,"speedy, express",en-us,JLPT 4
教育,きょういく,,education,en-us,JLPT 4
教会,きょうかい,,church,en-us,JLPT 4
競争,きょうそう,,competition,en-us,JLPT 4
興味,きょうみ,,an interest,en-us,JLPT 4
近所,きんじょ,,neighbourhood,en-us,JLPT 4
具合,ぐあい,,"condition, health",en-us,JLPT 4
空気,くうき,,"air, atmosphere",en-us,JLPT 4
空港,くうこう,,airport,en-us,JLPT 4
草,くさ,,grass,en-us,JLPT 4
首,くび,,neck,en-us,JLPT 4
雲,くも,,cloud,en-us,JLPT 4
比べる,くらべる,,to compare,en-us,JLPT 4
,くれる,,to give,en-us,JLPT 4
暮れる,くれる,,"to get dark, to come to an end",en-us,JLPT 4
君,くん,,suffix for familiar young male,en-us,JLPT 4
毛,け,,hair or fur,en-us,JLPT 4
経済,けいざい,,"finance, economy",en-us,JLPT 4
警察,けいさつ,,police,en-us,JLPT 4
景色,けしき,,"scene, landscape",en-us,JLPT 4
消しゴム,けしゴム,,eraser,en-us,JLPT 4
下宿,げしゅく,,lodging,en-us,JLPT 4
決して,けっして,,never,en-us,JLPT 4
,けれど/けれども,,however,en-us,JLPT 4
原因,げんいん,,"cause, source",en-us,JLPT 4
,けんか・する,,to quarrel,en-us,JLPT 4
研究,けんきゅう,,research,en-us,JLPT 4
研究室,けんきゅうしつ,,"study room, laboratory",en-us,JLPT 4
見物,けんぶつ,,sightseeing,en-us,JLPT 4
子,こ,,child,en-us,JLPT 4
,こう,,this way,en-us,JLPT 4
郊外,こうがい,,outskirts,en-us,JLPT 4
講義,こうぎ,,lecture,en-us,JLPT 4
工業,こうぎょう,,the manufacturing industry,en-us,JLPT 4
高校,こうこう,,high school,en-us,JLPT 4
高校生,こうこうせい,,high school student,en-us,JLPT 4
工場,こうじょう/こうば,,"factory, plant, mill, workshop",en-us,JLPT 4
校長,こうちょう,,headmaster,en-us,JLPT 4
交通,こうつう,,"traffic, transportation",en-us,JLPT 4
講堂,こうどう,,auditorium,en-us,JLPT 4
高等学校,こうとうがっこう,,high school,en-us,JLPT 4
公務員,こうむいん,,"civil servant, government worker",en-us,JLPT 4
国際,こくさい,,international,en-us,JLPT 4
心,こころ,,"heart, mind, core",en-us,JLPT 4
御主人,ごしゅじん,,(honorable) your husband,en-us,JLPT 4
故障,こしょう・する,,to break-down,en-us,JLPT 4
ご存じ,ごぞんじ,,(respect form) to know,en-us,JLPT 4
答,こたえ,,response,en-us,JLPT 4
,ごちそう,,a feast,en-us,JLPT 4
小鳥,ことり,,small bird,en-us,JLPT 4
,このあいだ,,"the other day, recently",en-us,JLPT 4
,このごろ,,"these days, nowadays",en-us,JLPT 4
細かい,こまかい,,"small, fine",en-us,JLPT 4
込む,こむ,,to include,en-us,JLPT 4
米,こめ,,uncooked rice,en-us,JLPT 4
,ごらんになる,,(respectful) to see,en-us,JLPT 4
,これから,,after this,en-us,JLPT 4
怖い,こわい,,frightening,en-us,JLPT 4
壊す,こわす,,to break,en-us,JLPT 4
壊れる,こわれる,,to be broken,en-us,JLPT 4
今度,こんど,,"now, next time",en-us,JLPT 4
今夜,こんや,,tonight,en-us,JLPT 4
最近,さいきん,,"latest, nowadays",en-us,JLPT 4
最後,さいご,,"last, end",en-us,JLPT 4
最初,さいしょ,,"beginning, first",en-us,JLPT 4
坂,さか,,slope, hill,en-us,JLPT 4
探す,さがす,,to look for,en-us,JLPT 4
下る,さがる,,"to get down, to descend",en-us,JLPT 4
盛ん,さかん,,"popularity, prosperous",en-us,JLPT 4
下げる,さげる,,"to hang, to lower, to move back",en-us,JLPT 4
差し上げる,さしあげる,,(polite) to give,en-us,JLPT 4
,さっき,,some time ago,en-us,JLPT 4
寂しい,さびしい,,lonely,en-us,JLPT 4
さ来月,さらいげつ,,the month after next,en-us,JLPT 4
さ来週,さらいしゅう,,the week after next,en-us,JLPT 4
騒ぐ,さわぐ,,"to make noise, to be excited",en-us,JLPT 4
触る,さわる,,to touch,en-us,JLPT 4
産業,さんぎょう,,industry,en-us,JLPT 4
残念,ざんねん,,disappointment,en-us,JLPT 4
市,し,,city,en-us,JLPT 4
字,じ,,character,en-us,JLPT 4
試合,しあい,,"match, game",en-us,JLPT 4
仕方,しかた,,method,en-us,JLPT 4
試験,しけん,,examination,en-us,JLPT 4
事故,じこ,,accident,en-us,JLPT 4
地震,じしん,,earthquake,en-us,JLPT 4
時代,じだい,,era,en-us,JLPT 4
下着,したぎ,,underwear,en-us,JLPT 4
,しっかり,,"firmly, steadily",en-us,JLPT 4
失敗,しっぱい,,"failure, mistake",en-us,JLPT 4
辞典,じてん,,dictionary,en-us,JLPT 4
品物,しなもの,,goods,en-us,JLPT 4
,しばらく,,little while,en-us,JLPT 4
島,しま,,island,en-us,JLPT 4
市民,しみん,,citizen,en-us,JLPT 4
事務所,じむしょ,,office,en-us,JLPT 4
社会,しゃかい,,"society, public",en-us,JLPT 4
社長,しゃちょう,,company president,en-us,JLPT 4
自由,じゆう,,freedom,en-us,JLPT 4
習慣,しゅうかん,,"custom, manners",en-us,JLPT 4
住所,じゅうしょ,,"an address, a residence",en-us,JLPT 4
柔道,じゅうどう,,judo,en-us,JLPT 4
十分,じゅうぶん,,enough,en-us,JLPT 4
趣味,しゅみ,,hobby,en-us,JLPT 4
紹介,しょうかい,,introduction,en-us,JLPT 4
小学校,しょうがっこう,,elementary school,en-us,JLPT 4
小説,しょうせつ,,novel,en-us,JLPT 4
将来,しょうらい,,"future, prospects",en-us,JLPT 4
食料品,しょくりょうひん,,groceries,en-us,JLPT 4
女性,じょせい,,woman,en-us,JLPT 4
知らせる,しらせる,,to notify,en-us,JLPT 4
調べる,しらべる,,to investigate,en-us,JLPT 4
人口,じんこう,,population,en-us,JLPT 4
神社,じんじゃ,,Shinto shrine,en-us,JLPT 4
親切,しんせつ,,kindness,en-us,JLPT 4
新聞社,しんぶんしゃ,,newspaper company,en-us,JLPT 4
水泳,すいえい,,swimming,en-us,JLPT 4
水道,すいどう,,water supply,en-us,JLPT 4
数学,すうがく,,"mathematics, arithmetic",en-us,JLPT 4
過ぎる,すぎる,,to exceed,en-us,JLPT 4
凄い,すごい,,terrific,en-us,JLPT 4
進む,すすむ,,to make progress,en-us,JLPT 4
,すっかり,,completely,en-us,JLPT 4
,すっと,,"straight, all of a sudden",en-us,JLPT 4
捨てる,すてる,,to throw away,en-us,JLPT 4
砂,すな,,sand,en-us,JLPT 4
滑る,すべる,,"to slide, to slip",en-us,JLPT 4
隅,すみ,,"corner, nook",en-us,JLPT 4
済む,すむ,,to finish,en-us,JLPT 4
,すり,,pickpocket,en-us,JLPT 4
,すると,,then,en-us,JLPT 4
生活,せいかつ・する,,to live,en-us,JLPT 4
生産,せいさん・する,,to produce,en-us,JLPT 4
政治,せいじ,,"politics, government",en-us,JLPT 4
西洋,せいよう,,western countries,en-us,JLPT 4
世界,せかい,,the world,en-us,JLPT 4
席,せき,,seat,en-us,JLPT 4
説明,せつめい,,explanation,en-us,JLPT 4
背中,せなか,,back of the body,en-us,JLPT 4
線,せん,,line,en-us,JLPT 4
戦争,せんそう,,war,en-us,JLPT 4
先輩,せんぱい,,senior,en-us,JLPT 4
,そう,,really,en-us,JLPT 4
